iter	Passed	Remaining
0	174	139397
1	335	133834
2	490	130393
3	653	129971
4	824	131093
5	984	130305
6	1160	131425
7	1321	130826
8	1492	131149
9	1653	130609
10	1813	130107
11	1992	130822
12	2162	130891
13	2323	130457
14	2491	130376
15	2646	129664
16	2792	128631
17	2954	128371
18	3121	128308
19	3280	127934
20	3451	128029
21	3612	127743
22	3778	127645
23	3923	126873
24	4091	126847
25	4240	126225
26	4389	125676
27	4539	125160
28	4698	124920
29	4860	124744
30	5015	124405
31	5185	124458
32	5330	123884
33	5487	123633
34	5639	123258
35	5786	122806
36	5925	122200
37	6093	122181
38	6253	122024
39	6407	121740
40	6558	121405
41	6709	121087
42	6868	120920
43	7043	121011
44	7189	120631
45	7361	120658
46	7505	120241
47	7660	120015
48	7821	119869
49	7974	119619
50	8136	119496
51	8308	119518
52	8480	119531
53	8649	119489
54	8806	119294
55	8951	118928
56	9110	118754
57	9261	118479
58	9432	118470
59	9575	118095
60	9724	117811
61	9867	117460
62	10010	117107
63	10153	116769
64	10299	116462
65	10485	116607
66	10643	116447
67	10816	116433
68	10973	116257
69	11133	116103
70	11286	115888
71	11433	115605
72	11589	115421
73	11746	115242
74	11907	115101
75	12048	114777
76	12205	114609
77	12359	114405
78	12504	114124
79	12648	113838
80	12802	113640
81	12951	113405
82	13104	113206
83	13262	113046
84	13410	112808
85	13562	112603
86	13719	112433
87	13878	112286
88	14028	112071
89	14202	112039
90	14357	111862
91	14503	111616
92	14642	111314
93	14820	111308
94	14977	111145
95	15131	110967
96	15288	110803
97	15439	110596
98	15606	110503
99	15768	110382
100	15915	110147
101	16075	110008
102	16245	109933
103	16396	109731
104	16550	109545
105	16733	109558
106	16886	109369
107	17031	109127
108	17170	108848
109	17326	108684
110	17484	108528
111	17637	108342
112	17801	108223
113	17962	108090
114	18143	108074
115	18282	107805
116	18434	107610
117	18594	107471
118	18761	107363
119	18916	107193
120	19074	107038
121	19230	106872
122	19370	106616
123	19528	106464
124	19681	106279
125	19835	106103
126	20013	106055
127	20169	105891
128	20325	105723
129	20470	105500
130	20620	105304
131	20766	105090
132	20920	104916
133	21076	104753
134	21234	104599
135	21385	104411
136	21547	104276
137	21683	104018
138	21840	103858
139	21980	103624
140	22126	103413
141	22293	103305
142	22443	103116
143	22600	102955
144	22746	102751
145	22887	102521
146	23037	102335
147	23187	102152
148	23334	101952
149	23481	101752
150	23634	101580
151	23792	101430
152	23949	101275
153	24120	101179
154	24265	100976
155	24433	100868
156	24597	100741
157	24741	100533
158	24886	100329
159	25039	100159
160	25193	99992
161	25349	99834
162	25509	99690
163	25666	99535
164	25806	99314
165	25970	99189
166	26124	99022
167	26293	98914
168	26456	98782
169	26604	98593
170	26763	98447
171	26915	98272
172	27076	98132
173	27252	98044
174	27409	97890
175	27565	97731
176	27703	97510
177	27871	97393
178	28025	97226
179	28183	97077
180	28338	96914
181	28494	96754
182	28643	96574
183	28800	96419
184	28965	96290
185	29133	96172
186	29287	96007
187	29439	95834
188	29582	95634
189	29724	95432
190	29872	95246
191	30022	95071
192	30158	94850
193	30318	94705
194	30471	94541
195	30617	94353
196	30756	94141
197	30906	93968
198	31056	93793
199	31214	93642
200	31356	93444
201	31520	93311
202	31679	93167
203	31828	92990
204	31965	92777
205	32130	92649
206	32294	92513
207	32448	92352
208	32595	92171
209	32759	92039
210	32904	91852
211	33068	91719
212	33228	91573
213	33380	91405
214	33530	91234
215	33686	91078
216	33825	90875
217	33987	90737
218	34157	90619
219	34299	90427
220	34475	90323
221	34619	90134
222	34785	90004
223	34933	89829
224	35081	89653
225	35228	89473
226	35376	89297
227	35528	89133
228	35694	89003
229	35867	88888
230	36019	88724
231	36172	88560
232	36320	88385
233	36471	88218
234	36618	88041
235	36780	87900
236	36932	87735
237	37092	87587
238	37247	87430
239	37400	87266
240	37563	87128
241	37716	86965
242	37870	86806
243	38028	86656
244	38181	86491
245	38332	86326
246	38489	86172
247	38638	86002
248	38785	85826
249	38936	85659
250	39092	85504
251	39247	85348
252	39414	85215
253	39549	85016
254	39713	84877
255	39850	84681
256	40008	84531
257	40166	84381
258	40310	84200
259	40458	84029
260	40606	83857
261	40760	83699
262	40919	83549
263	41098	83441
264	41261	83301
265	41416	83145
266	41554	82953
267	41693	82764
268	41858	82627
269	42024	82492
270	42185	82346
271	42332	82175
272	42466	81976
273	42598	81775
274	42753	81619
275	42931	81507
276	43082	81344
277	43253	81216
278	43411	81066
279	43550	80879
280	43702	80717
281	43856	80558
282	44003	80388
283	44154	80224
284	44303	80057
285	44456	79896
286	44626	79768
287	44788	79624
288	44948	79475
289	45115	79341
290	45262	79170
291	45415	79009
292	45564	78842
293	45718	78686
294	45863	78512
295	46036	78386
296	46182	78215
297	46342	78066
298	46490	77899
299	46633	77723
300	46780	77552
301	46931	77390
302	47084	77230
303	47235	77067
304	47387	76907
305	47554	76770
306	47699	76599
307	47861	76453
308	48007	76284
309	48154	76115
310	48314	75967
311	48508	75872
312	48673	75731
313	48815	75555
314	48952	75370
315	49095	75196
316	49232	75013
317	49380	74847
318	49529	74683
319	49676	74514
320	49845	74380
321	49992	74212
322	50147	74056
323	50300	73898
324	50447	73730
325	50589	73556
326	50730	73380
327	50899	73246
328	51057	73094
329	51209	72934
330	51365	72780
331	51518	72623
332	51669	72461
333	51811	72287
334	51961	72125
335	52097	71943
336	52257	71795
337	52410	71638
338	52583	71507
339	52728	71338
340	52874	71171
341	53030	71017
342	53194	70874
343	53358	70731
344	53507	70567
345	53649	70395
346	53798	70232
347	53960	70087
348	54125	69944
349	54289	69801
350	54449	69651
351	54601	69493
352	54751	69330
353	54901	69169
354	55065	69025
355	55213	68861
356	55350	68684
357	55507	68531
358	55666	68382
359	55815	68218
360	55963	68054
361	56131	67915
362	56293	67769
363	56451	67618
364	56605	67461
365	56743	67285
366	56904	67138
367	57064	66988
368	57220	66834
369	57385	66690
370	57531	66525
371	57673	66355
372	57816	66186
373	57963	66022
374	58118	65867
375	58285	65726
376	58449	65581
377	58581	65400
378	58722	65230
379	58893	65092
380	59053	64943
381	59217	64798
382	59365	64635
383	59532	64493
384	59672	64322
385	59834	64175
386	59987	64018
387	60148	63868
388	60284	63694
389	60438	63538
390	60596	63386
391	60767	63247
392	60911	63080
393	61054	62914
394	61204	62753
395	61360	62600
396	61518	62447
397	61660	62279
398	61796	62105
399	61958	61958
400	62132	61823
401	62282	61662
402	62439	61509
403	62592	61352
404	62748	61198
405	62898	61039
406	63063	60894
407	63214	60735
408	63359	60571
409	63506	60408
410	63648	60241
411	63790	60074
412	63938	59913
413	64107	59771
414	64273	59627
415	64411	59456
416	64580	59315
417	64741	59165
